stop_loss,buy_threshold,sell_threshold,max_positions,prediction_steps,cumulative_profit_loss,number_of_trades,max_drawdown
0.97,1.0025,0.9975,1,5,0.018974651090806708,21,0.11137233879739666
0.97,1.0025,0.9975,1,10,0.01216386154904344,13,0.11763097180860445
0.97,1.0025,0.9975,1,15,0.0072449306126646604,12,0.08008671996651567
0.97,1.0025,0.9975,2,5,-0.0187205065528189,29,0.23734284391335758
0.97,1.0025,0.9975,2,10,0.015383315741885199,26,0.15661346592472097
0.97,1.0025,0.9975,2,15,-0.0026656794918228435,19,0.15901246602705224
0.97,1.0025,0.9975,3,5,0.22926436855275223,35,0.21516801127668414
0.97,1.0025,0.9975,3,10,0.12238838080306988,19,0.21477354027189205
0.97,1.0025,0.9975,3,15,0.019630845735833943,16,0.23228590683403083
0.97,1.0025,0.995,1,5,0.013488261330692815,11,0.11512640748513642
0.97,1.0025,0.995,1,10,0.0813751000214413,7,0.07278368869569124
0.97,1.0025,0.995,1,15,0.027503248802233923,7,0.038901957629683986
0.97,1.0025,0.995,2,5,0.0027413115118450695,11,0.19869665850805238
0.97,1.0025,0.995,2,10,-0.007366834867247034,11,0.22494764122803274
0.97,1.0025,0.995,2,15,-0.023387313112201297,8,0.18978884298628074
0.97,1.0025,0.995,3,5,0.09822807946576731,21,0.25383123157838217
0.97,1.0025,0.995,3,10,0.24246539345353818,13,0.13653044715108845
0.97,1.0025,0.995,3,15,0.05403764725443341,13,0.09875762845803487
0.97,1.0025,0.9925,1,5,0.024184283067571862,7,0.07368776112608721
0.97,1.0025,0.9925,1,10,0.024135120322901084,3,0.04315710825315681
0.97,1.0025,0.9925,1,15,0.07006227128591337,4,0.03850415349713875
0.97,1.0025,0.9925,2,5,0.10533753337841958,12,0.1172519339432811
0.97,1.0025,0.9925,2,10,0.11755514569859812,6,0.06365725416962376
0.97,1.0025,0.9925,2,15,0.18967218441969902,6,0.0
0.97,1.0025,0.9925,3,5,0.24912680983308413,15,0.09081355172265257
0.97,1.0025,0.9925,3,10,0.14785936676241235,6,0.0
