action,price,timestamp,size,success
sell,1.3025,2022-04-20 05:00:00,2,True
reduce_short,1.29969,2022-04-20 07:00:00,1,True
sell,1.30272,2022-04-20 09:00:00,2,True
reduce_short,1.30508,2022-04-20 12:00:00,2,True
sell,1.3049300000000001,2022-04-20 15:00:00,1,True
close_short,1.306,2022-04-20 18:00:00,2,True
buy,1.30705,2022-04-20 20:00:00,1,True
close_long,1.30636,2022-04-20 23:00:00,1,True
sell,1.30507,2022-04-21 01:00:00,3,True
close_short,1.30558,2022-04-21 05:00:00,3,True
buy,1.30785,2022-04-21 07:00:00,1,True
close_long,1.3059,2022-04-21 09:00:00,1,True
sell,1.3028300000000002,2022-04-21 11:00:00,1,True
sell,1.30577,2022-04-21 13:00:00,1,True
reduce_short,1.30311,2022-04-21 16:00:00,1,True
sell,1.30229,2022-04-21 18:00:00,1,True
close_short,1.3035999999999999,2022-04-21 22:00:00,2,True
buy,1.30269,2022-04-22,3,True
close_long,1.30178,2022-04-22 02:00:00,3,True
sell,1.3022,2022-04-22 04:00:00,1,True
close_short,1.29691,2022-04-22 06:00:00,1,True
sell,1.28827,2022-04-22 08:00:00,3,True
close_short,1.29064,2022-04-22 11:00:00,3,True
sell,1.28672,2022-04-22 13:00:00,2,True
sell,1.28201,2022-04-22 18:00:00,1,True
close_short,1.28383,2022-04-23 02:00:00,3,True
sell,1.2830300000000001,2022-04-23 04:00:00,1,True
close_short,1.28383,2022-04-23 06:00:00,1,True
buy,1.28383,2022-04-23 08:00:00,2,True
reduce_long,1.28329,2022-04-24 22:00:00,1,True
buy,1.28257,2022-04-25,2,True
reduce_long,1.28061,2022-04-25 02:00:00,2,True
buy,1.2750599999999999,2022-04-25 08:00:00,2,True
reduce_long,1.27128,2022-04-25 10:00:00,2,True
buy,1.27407,2022-04-25 12:00:00,1,True
reduce_long,1.2704499999999999,2022-04-25 15:00:00,1,True
buy,1.27465,2022-04-25 21:00:00,2,True
reduce_long,1.2749899999999998,2022-04-26,2,True
buy,1.27664,2022-04-26 02:00:00,2,True
close_long,1.27516,2022-04-26 05:00:00,3,True
sell,1.27085,2022-04-26 07:00:00,1,True
sell,1.26145,2022-04-26 14:00:00,1,True
reduce_short,1.2585300000000001,2022-04-26 17:00:00,1,True
sell,1.25851,2022-04-26 19:00:00,1,True
sell,1.2567300000000001,2022-04-26 21:00:00,1,True
reduce_short,1.25799,2022-04-27 01:00:00,1,True
sell,1.25804,2022-04-27 04:00:00,1,True
reduce_short,1.25851,2022-04-27 10:00:00,2,True
sell,1.24986,2022-04-27 14:00:00,2,True
close_short,1.25619,2022-04-27 17:00:00,3,True
sell,1.25414,2022-04-27 19:00:00,1,True
sell,1.2535800000000001,2022-04-27 21:00:00,1,True
sell,1.2539500000000001,2022-04-28 01:00:00,1,True
reduce_short,1.25069,2022-04-28 03:00:00,1,True
close_short,1.2525199999999999,2022-04-28 05:00:00,2,True
buy,1.2559799999999999,2022-04-28 07:00:00,2,True
reduce_long,1.24685,2022-04-28 10:00:00,1,True
buy,1.24427,2022-04-28 14:00:00,1,True
reduce_long,1.24675,2022-04-28 16:00:00,1,True
close_long,1.24572,2022-04-28 18:00:00,1,True
sell,1.24523,2022-04-28 20:00:00,2,True
reduce_short,1.24604,2022-04-28 23:00:00,1,True
sell,1.24793,2022-04-29 01:00:00,2,True
reduce_short,1.2551,2022-04-29 14:00:00,2,True
sell,1.2574100000000001,2022-04-29 16:00:00,1,True
sell,1.25945,2022-04-29 18:00:00,1,True
reduce_short,1.25631,2022-04-29 20:00:00,2,True
sell,1.25631,2022-04-29 22:00:00,2,True
reduce_short,1.25631,2022-04-30 01:00:00,2,True
sell,1.25631,2022-04-30 03:00:00,1,True
reduce_short,1.25631,2022-04-30 05:00:00,1,True
sell,1.25631,2022-04-30 08:00:00,1,True
close_short,1.25836,2022-05-01 21:00:00,2,True
sell,1.2566,2022-05-01 23:00:00,3,True
reduce_short,1.2547300000000001,2022-05-02 04:00:00,1,True
reduce_short,1.25562,2022-05-02 06:00:00,1,True
close_short,1.2578,2022-05-02 09:00:00,1,True
sell,1.25566,2022-05-02 11:00:00,2,True
sell,1.24783,2022-05-02 17:00:00,1,True
close_short,1.24936,2022-05-02 19:00:00,3,True
sell,1.2482600000000001,2022-05-02 21:00:00,2,True
sell,1.2495100000000001,2022-05-02 23:00:00,1,True
close_short,1.2519,2022-05-03 05:00:00,3,True
sell,1.2533,2022-05-03 07:00:00,1,True
sell,1.24905,2022-05-03 10:00:00,1,True
sell,1.25052,2022-05-03 15:00:00,1,True
reduce_short,1.24859,2022-05-03 18:00:00,2,True
sell,1.24886,2022-05-03 20:00:00,1,True
sell,1.24939,2022-05-03 23:00:00,1,True
reduce_short,1.24859,2022-05-04 02:00:00,1,True
sell,1.24776,2022-05-04 04:00:00,1,True
close_short,1.2533699999999999,2022-05-04 12:00:00,3,True
buy,1.2503499999999999,2022-05-04 14:00:00,1,True
close_long,1.24899,2022-05-04 16:00:00,1,True
buy,1.25782,2022-05-04 18:00:00,1,True
buy,1.26109,2022-05-04 22:00:00,2,True
reduce_long,1.2612999999999999,2022-05-05,1,True
buy,1.26083,2022-05-05 02:00:00,1,True
reduce_long,1.25505,2022-05-05 04:00:00,2,True
buy,1.2546199999999998,2022-05-05 07:00:00,1,True
close_long,1.23851,2022-05-05 12:00:00,2,True
sell,1.23701,2022-05-05 14:00:00,1,True
sell,1.23334,2022-05-05 16:00:00,1,True
close_short,1.23536,2022-05-05 18:00:00,2,True
buy,1.23602,2022-05-05 20:00:00,1,True
close_long,1.2361900000000001,2022-05-06,1,True
sell,1.2354800000000001,2022-05-06 02:00:00,2,True
sell,1.2349400000000001,2022-05-06 05:00:00,1,True
reduce_short,1.23378,2022-05-06 09:00:00,2,True
close_short,1.23399,2022-05-06 11:00:00,1,True
sell,1.23194,2022-05-06 13:00:00,1,True
sell,1.23271,2022-05-06 18:00:00,1,True
sell,1.23346,2022-05-06 23:00:00,1,True
reduce_short,1.23346,2022-05-07 02:00:00,2,True
sell,1.23346,2022-05-07 06:00:00,1,True
close_short,1.23426,2022-05-07 08:00:00,2,True
sell,1.2339900000000001,2022-05-08 21:00:00,2,True
sell,1.22862,2022-05-09 02:00:00,1,True
reduce_short,1.22761,2022-05-09 05:00:00,1,True
sell,1.22662,2022-05-09 08:00:00,1,True
close_short,1.23454,2022-05-09 10:00:00,3,True
