action,price,timestamp,size,success
sell,1.18966,2020-11-23 13:00:00,1,True
sell,1.18383,2020-11-23 16:00:00,1,True
sell,1.18388,2020-11-23 19:00:00,1,True
reduce_short,1.18356,2020-11-23 22:00:00,2,True
close_short,1.18417,2020-11-24,1,True
sell,1.18432,2020-11-24 02:00:00,1,True
sell,1.18509,2020-11-24 04:00:00,2,True
close_short,1.18763,2020-11-24 08:00:00,3,True
buy,1.18834,2020-11-24 10:00:00,1,True
buy,1.1857,2020-11-24 13:00:00,1,True
close_long,1.188,2020-11-24 19:00:00,2,True
buy,1.18952,2020-11-24 21:00:00,3,True
reduce_long,1.18998,2020-11-24 23:00:00,1,True
close_long,1.19016,2020-11-25 02:00:00,2,True
sell,1.1901300000000001,2020-11-25 04:00:00,3,True
reduce_short,1.19068,2020-11-25 08:00:00,2,True
sell,1.18914,2020-11-25 10:00:00,2,True
close_short,1.18987,2020-11-25 12:00:00,3,True
sell,1.19044,2020-11-25 14:00:00,3,True
reduce_short,1.1919,2020-11-26,1,True
reduce_short,1.19231,2020-11-26 04:00:00,1,True
close_short,1.19291,2020-11-26 07:00:00,1,True
sell,1.1900300000000001,2020-11-26 09:00:00,3,True
reduce_short,1.18997,2020-11-26 11:00:00,1,True
sell,1.1895,2020-11-26 13:00:00,1,True
close_short,1.1912099999999999,2020-11-26 16:00:00,3,True
sell,1.19105,2020-11-26 18:00:00,1,True
sell,1.19096,2020-11-26 20:00:00,1,True
sell,1.19068,2020-11-26 22:00:00,1,True
reduce_short,1.19106,2020-11-27,1,True
reduce_short,1.19119,2020-11-27 02:00:00,1,True
sell,1.1921300000000001,2020-11-27 04:00:00,1,True
close_short,1.1927699999999999,2020-11-27 06:00:00,2,True
buy,1.19339,2020-11-27 08:00:00,2,True
reduce_long,1.19261,2020-11-27 10:00:00,1,True
buy,1.19396,2020-11-27 13:00:00,2,True
reduce_long,1.19474,2020-11-27 15:00:00,1,True
reduce_long,1.19604,2020-11-27 19:00:00,1,True
buy,1.19644,2020-11-27 21:00:00,2,True
reduce_long,1.19752,2020-11-29 23:00:00,1,True
reduce_long,1.19767,2020-11-30 01:00:00,1,True
buy,1.19711,2020-11-30 03:00:00,2,True
close_long,1.19692,2020-11-30 05:00:00,3,True
sell,1.1970800000000001,2020-11-30 07:00:00,3,True
reduce_short,1.19814,2020-11-30 09:00:00,1,True
sell,1.19846,2020-11-30 11:00:00,1,True
reduce_short,1.19834,2020-11-30 13:00:00,2,True
sell,1.19607,2020-11-30 15:00:00,2,True
reduce_short,1.19513,2020-11-30 17:00:00,1,True
reduce_short,1.19442,2020-11-30 19:00:00,1,True
sell,1.1927400000000001,2020-11-30 22:00:00,1,True
sell,1.19403,2020-12-01,1,True
reduce_short,1.19654,2020-12-01 07:00:00,1,True
close_short,1.19716,2020-12-01 10:00:00,2,True
buy,1.19701,2020-12-01 12:00:00,3,True
reduce_long,1.19972,2020-12-01 14:00:00,1,True
reduce_long,1.20407,2020-12-01 16:00:00,1,True
close_long,1.20404,2020-12-01 18:00:00,1,True
sell,1.20687,2020-12-01 20:00:00,3,True
reduce_short,1.20636,2020-12-02,2,True
sell,1.11839,2017-06-27 07:00:00,1,True
reduce_short,1.1266,2017-06-27 11:00:00,1,True
sell,1.1285100000000001,2017-06-27 13:00:00,1,True
sell,1.13233,2017-06-27 15:00:00,1,True
reduce_short,1.13432,2017-06-27 18:00:00,2,True
close_short,1.13414,2017-06-27 20:00:00,1,True
sell,1.13399,2017-06-27 22:00:00,1,True
sell,1.14021,2017-06-29 02:00:00,2,True
close_short,1.14285,2017-06-29 07:00:00,3,True
sell,1.14031,2017-06-29 10:00:00,2,True
reduce_short,1.14174,2017-06-29 15:00:00,1,True
sell,1.14392,2017-06-29 17:00:00,2,True
reduce_short,1.1437,2017-06-29 20:00:00,2,True
close_short,1.14244,2017-07-02 21:00:00,1,True
buy,1.1426399999999999,2017-07-02 23:00:00,1,True
buy,1.14192,2017-07-03 01:00:00,2,True
close_long,1.14012,2017-07-03 03:00:00,3,True
buy,1.14107,2017-07-03 05:00:00,3,True
close_long,1.13758,2017-07-03 08:00:00,3,True
sell,1.13719,2017-07-03 10:00:00,2,True
close_short,1.13709,2017-07-03 14:00:00,2,True
sell,1.13543,2017-07-03 16:00:00,1,True
close_short,1.1361299999999999,2017-07-03 18:00:00,1,True
sell,1.13608,2017-07-03 20:00:00,2,True
close_short,1.13767,2017-07-04,2,True
buy,1.1369099999999999,2017-07-04 02:00:00,3,True
close_long,1.1369,2017-07-04 04:00:00,3,True
sell,1.13694,2017-07-04 06:00:00,2,True
sell,1.1348500000000001,2017-07-04 10:00:00,1,True
reduce_short,1.1340000000000001,2017-07-04 12:00:00,2,True
sell,1.13479,2017-07-04 16:00:00,1,True
sell,1.13473,2017-07-04 18:00:00,1,True
reduce_short,1.13638,2017-07-05 01:00:00,2,True
close_short,1.13617,2017-07-05 03:00:00,1,True
buy,1.13562,2017-07-05 05:00:00,3,True
reduce_long,1.13663,2017-07-05 07:00:00,2,True
buy,1.13268,2017-07-05 09:00:00,2,True
reduce_long,1.13354,2017-07-05 11:00:00,1,True
reduce_long,1.13327,2017-07-05 13:00:00,1,True
buy,1.1343699999999999,2017-07-05 17:00:00,2,True
reduce_long,1.1345,2017-07-05 19:00:00,2,True
buy,1.13536,2017-07-05 21:00:00,2,True
close_long,1.13435,2017-07-05 23:00:00,3,True
buy,1.1335199999999999,2017-07-06 01:00:00,1,True
buy,1.13411,2017-07-06 03:00:00,2,True
reduce_long,1.1352,2017-07-06 08:00:00,1,True
close_long,1.13625,2017-07-06 10:00:00,2,True
buy,1.1393499999999999,2017-07-06 12:00:00,1,True
close_long,1.1420000000000001,2017-07-06 17:00:00,1,True
sell,1.1417,2017-07-06 19:00:00,2,True
reduce_short,1.14186,2017-07-06 21:00:00,1,True
sell,1.14086,2017-07-07 01:00:00,2,True
close_short,1.1417599999999999,2017-07-07 06:00:00,3,True
sell,1.14188,2017-07-07 08:00:00,2,True
sell,1.1405,2017-07-07 11:00:00,1,True
close_short,1.13948,2017-07-07 13:00:00,3,True
sell,1.14049,2017-07-07 16:00:00,1,True
sell,1.14015,2017-07-07 19:00:00,1,True
reduce_short,1.13958,2017-07-09 21:00:00,1,True
close_short,1.1411,2017-07-10 01:00:00,1,True
sell,1.14015,2017-07-10 03:00:00,2,True
sell,1.1382400000000001,2017-07-10 09:00:00,1,True
close_short,1.13947,2017-07-10 13:00:00,3,True
sell,1.13923,2017-07-10 15:00:00,1,True
sell,1.14029,2017-07-10 17:00:00,2,True
reduce_short,1.13962,2017-07-10 19:00:00,2,True
sell,1.13933,2017-07-10 23:00:00,1,True
sell,1.13901,2017-07-11 01:00:00,1,True
reduce_short,1.13913,2017-07-11 03:00:00,1,True
sell,1.13875,2017-07-11 06:00:00,1,True
reduce_short,1.13928,2017-07-11 10:00:00,2,True
close_short,1.1404699999999999,2017-07-11 12:00:00,1,True
sell,1.14164,2017-07-11 14:00:00,3,True
reduce_short,1.14365,2017-07-11 16:00:00,2,True
sell,1.1464400000000001,2017-07-11 20:00:00,1,True
reduce_short,1.14665,2017-07-11 22:00:00,1,True
sell,1.14733,2017-07-12,1,True
sell,1.14784,2017-07-12 02:00:00,1,True
reduce_short,1.14453,2017-07-12 07:00:00,2,True
sell,1.14506,2017-07-12 11:00:00,1,True
close_short,1.14134,2017-07-12 15:00:00,2,True
sell,1.14155,2017-07-12 17:00:00,2,True
reduce_short,1.1413,2017-07-12 22:00:00,1,True
sell,1.1433900000000001,2017-07-13 02:00:00,1,True
sell,1.1434600000000001,2017-07-13 04:00:00,1,True
reduce_short,1.14074,2017-07-13 11:00:00,2,True
sell,1.13958,2017-07-13 13:00:00,2,True
reduce_short,1.1381000000000001,2017-07-13 15:00:00,1,True
sell,1.14037,2017-07-13 19:00:00,1,True
reduce_short,1.13969,2017-07-13 21:00:00,2,True
sell,1.14013,2017-07-13 23:00:00,1,True
reduce_short,1.13989,2017-07-14 01:00:00,1,True
close_short,1.14126,2017-07-14 05:00:00,1,True
sell,1.14137,2017-07-14 07:00:00,3,True
close_short,1.14199,2017-07-14 11:00:00,3,True
buy,1.1461999999999999,2017-07-14 13:00:00,2,True
reduce_long,1.14685,2017-07-14 18:00:00,1,True
buy,1.1473,2017-07-16 22:00:00,2,True
reduce_long,1.14677,2017-07-17,2,True
buy,1.14644,2017-07-17 04:00:00,1,True
reduce_long,1.14566,2017-07-17 06:00:00,1,True
buy,1.14619,2017-07-17 10:00:00,1,True
reduce_long,1.14709,2017-07-17 12:00:00,1,True
buy,1.1475199999999999,2017-07-17 16:00:00,1,True
buy,1.14834,2017-07-17 18:00:00,1,True
reduce_long,1.1481299999999999,2017-07-17 20:00:00,2,True
buy,1.14763,2017-07-17 22:00:00,1,True
close_long,1.15264,2017-07-18 01:00:00,2,True
sell,1.15248,2017-07-18 03:00:00,1,True
close_short,1.15251,2017-07-18 05:00:00,1,True
buy,1.15315,2017-07-18 07:00:00,2,True
reduce_long,1.15591,2017-07-18 12:00:00,1,True
close_long,1.15602,2017-07-18 16:00:00,1,True
buy,1.15639,2017-07-18 18:00:00,2,True
close_long,1.15507,2017-07-18 20:00:00,2,True
sell,1.15475,2017-07-18 22:00:00,2,True
close_short,1.1544999999999999,2017-07-19 01:00:00,2,True
sell,1.1535900000000001,2017-07-19 03:00:00,3,True
reduce_short,1.1529500000000001,2017-07-19 05:00:00,2,True
sell,1.15267,2017-07-19 08:00:00,2,True
close_short,1.15197,2017-07-20 01:00:00,3,True
sell,1.15036,2017-07-20 03:00:00,1,True
sell,1.14971,2017-07-20 07:00:00,1,True
reduce_short,1.1482,2017-07-20 11:00:00,1,True
sell,1.15588,2017-07-20 13:00:00,2,True
close_short,1.16366,2017-07-20 15:00:00,3,True
sell,1.1626,2017-07-20 17:00:00,3,True
reduce_short,1.16256,2017-07-20 20:00:00,1,True
reduce_short,1.16245,2017-07-20 22:00:00,1,True
close_short,1.16429,2017-07-21 05:00:00,1,True
sell,1.1635900000000001,2017-07-21 07:00:00,2,True
close_short,1.1649399999999999,2017-07-21 09:00:00,2,True
buy,1.16448,2017-07-21 11:00:00,3,True
reduce_long,1.16496,2017-07-21 13:00:00,1,True
buy,1.16576,2017-07-21 15:00:00,1,True
close_long,1.1673,2017-07-21 17:00:00,3,True
buy,1.16665,2017-07-21 19:00:00,3,True
reduce_long,1.16756,2017-07-23 22:00:00,1,True
close_long,1.16658,2017-07-24 01:00:00,2,True
buy,1.16748,2017-07-24 03:00:00,2,True
close_long,1.16669,2017-07-24 05:00:00,2,True
buy,1.16424,2017-07-24 07:00:00,3,True
reduce_long,1.16598,2017-07-24 09:00:00,2,True
buy,1.16478,2017-07-24 11:00:00,2,True
reduce_long,1.16408,2017-07-24 13:00:00,2,True
close_long,1.16406,2017-07-24 19:00:00,1,True
buy,1.1639599999999999,2017-07-24 21:00:00,1,True
buy,1.16414,2017-07-24 23:00:00,1,True
reduce_long,1.16563,2017-07-25 02:00:00,1,True
buy,1.16649,2017-07-25 04:00:00,2,True
reduce_long,1.16577,2017-07-25 09:00:00,2,True
buy,1.16565,2017-07-25 16:00:00,1,True
buy,1.1649399999999999,2017-07-25 20:00:00,1,True
reduce_long,1.1649399999999999,2017-07-25 22:00:00,1,True
close_long,1.16492,2017-07-26 02:00:00,2,True
buy,1.16414,2017-07-26 04:00:00,3,True
close_long,1.16344,2017-07-26 06:00:00,3,True
sell,1.16202,2017-07-26 08:00:00,3,True
reduce_short,1.16379,2017-07-26 11:00:00,1,True
reduce_short,1.16293,2017-07-26 15:00:00,1,True
sell,1.16439,2017-07-26 17:00:00,1,True
reduce_short,1.1718600000000001,2017-07-26 19:00:00,1,True
sell,1.1743700000000001,2017-07-26 21:00:00,2,True
reduce_short,1.1737,2017-07-27 01:00:00,2,True
sell,1.17459,2017-07-27 04:00:00,1,True
reduce_short,1.17204,2017-07-27 07:00:00,1,True
sell,1.17016,2017-07-27 10:00:00,1,True
sell,1.17018,2017-07-27 13:00:00,1,True
close_short,1.16673,2017-07-27 16:00:00,3,True
buy,1.16864,2017-07-27 18:00:00,1,True
close_long,1.16868,2017-07-27 23:00:00,1,True
sell,1.16812,2017-07-28 01:00:00,2,True
reduce_short,1.1680300000000001,2017-07-28 03:00:00,1,True
sell,1.17128,2017-07-28 09:00:00,1,True
sell,1.17131,2017-07-28 12:00:00,1,True
reduce_short,1.17521,2017-07-28 15:00:00,1,True
sell,1.17556,2017-07-28 19:00:00,1,True
close_short,1.17566,2017-07-30 21:00:00,3,True
sell,1.17439,2017-07-30 23:00:00,2,True
close_short,1.17353,2017-07-31 03:00:00,2,True
sell,1.17427,2017-07-31 05:00:00,2,True
sell,1.17309,2017-07-31 09:00:00,1,True
reduce_short,1.17305,2017-07-31 12:00:00,2,True
close_short,1.17926,2017-07-31 14:00:00,1,True
sell,1.18076,2017-07-31 16:00:00,2,True
sell,1.18333,2017-07-31 19:00:00,1,True
reduce_short,1.18328,2017-07-31 21:00:00,1,True
close_short,1.183,2017-08-01,2,True
buy,1.18307,2017-08-01 02:00:00,3,True
close_long,1.1817,2017-08-01 06:00:00,3,True
buy,1.18242,2017-08-01 08:00:00,1,True
buy,1.18137,2017-08-01 10:00:00,1,True
close_long,1.18067,2017-08-01 14:00:00,2,True
sell,1.18015,2017-08-01 16:00:00,1,True
sell,1.17973,2017-08-01 19:00:00,1,True
sell,1.18025,2017-08-01 21:00:00,1,True
reduce_short,1.18083,2017-08-01 23:00:00,1,True
sell,1.17972,2017-08-02 01:00:00,1,True
reduce_short,1.18365,2017-08-02 06:00:00,2,True
sell,1.18517,2017-08-02 08:00:00,1,True
sell,1.18215,2017-08-02 12:00:00,1,True
reduce_short,1.18536,2017-08-02 14:00:00,1,True
reduce_short,1.18648,2017-08-02 16:00:00,1,True
sell,1.18566,2017-08-02 18:00:00,1,True
sell,1.18483,2017-08-02 22:00:00,1,True
reduce_short,1.18336,2017-08-03 01:00:00,1,True
reduce_short,1.18434,2017-08-03 04:00:00,1,True
sell,1.18483,2017-08-03 06:00:00,2,True
close_short,1.1845999999999999,2017-08-03 08:00:00,3,True
buy,1.18405,2017-08-03 10:00:00,1,True
close_long,1.18563,2017-08-03 12:00:00,1,True
buy,1.18821,2017-08-03 14:00:00,3,True
close_long,1.18689,2017-08-03 17:00:00,3,True
buy,1.18781,2017-08-03 19:00:00,1,True
close_long,1.1874200000000001,2017-08-03 22:00:00,1,True
sell,1.18736,2017-08-04,3,True
reduce_short,1.18717,2017-08-04 02:00:00,2,True
sell,1.18766,2017-08-04 04:00:00,1,True
sell,1.1882,2017-08-04 06:00:00,1,True
close_short,1.18797,2017-08-04 11:00:00,3,True
buy,1.17963,2017-08-04 13:00:00,2,True
reduce_long,1.17573,2017-08-04 17:00:00,1,True
close_long,1.17774,2017-08-04 19:00:00,1,True
sell,1.17733,2017-08-06 21:00:00,2,True
sell,1.17739,2017-08-06 23:00:00,1,True
close_short,1.17957,2017-08-07 01:00:00,3,True
buy,1.18015,2017-08-07 03:00:00,1,True
close_long,1.17819,2017-08-07 05:00:00,1,True
sell,1.18067,2017-08-07 07:00:00,2,True
sell,1.17995,2017-08-07 11:00:00,1,True
close_short,1.17903,2017-08-07 15:00:00,3,True
sell,1.17911,2017-08-07 17:00:00,1,True
close_short,1.18025,2017-08-07 23:00:00,1,True
sell,1.18128,2017-08-08 01:00:00,2,True
reduce_short,1.17991,2020-08-24 01:00:00,1,True
close_short,1.17906,2020-08-24 03:00:00,1,True
sell,1.1803000000000001,2020-08-24 05:00:00,2,True
close_short,1.18248,2020-08-24 08:00:00,2,True
sell,1.18292,2020-08-24 10:00:00,2,True
reduce_short,1.18102,2020-08-24 14:00:00,1,True
sell,1.17944,2020-08-24 17:00:00,1,True
reduce_short,1.1014300000000001,2015-03-05 17:00:00,1,True
sell,1.10233,2015-03-05 19:00:00,1,True
sell,1.10223,2015-03-06 04:00:00,1,True
reduce_short,1.0967500000000001,2015-03-06 10:00:00,1,True
sell,1.08924,2015-03-06 13:00:00,1,True
close_short,1.0856999999999999,2015-03-06 16:00:00,3,True
sell,1.0849900000000001,2015-03-06 18:00:00,1,True
close_short,1.08524,2015-03-06 20:00:00,1,True
sell,1.08277,2015-03-08 21:00:00,3,True
close_short,1.0844,2015-03-09 01:00:00,3,True
sell,1.08349,2015-03-09 03:00:00,1,True
sell,1.08612,2015-03-09 07:00:00,1,True
sell,1.08888,2015-03-09 09:00:00,1,True
reduce_short,1.08565,2015-03-09 17:00:00,1,True
sell,1.0852600000000001,2015-03-09 19:00:00,1,True
reduce_short,1.0729600000000001,2015-03-10 11:00:00,1,True
reduce_short,1.07657,2015-03-10 13:00:00,1,True
sell,1.07153,2015-03-10 16:00:00,1,True
sell,1.06941,2015-03-10 18:00:00,1,True
close_short,1.0688,2015-03-11 02:00:00,3,True
sell,1.06775,2015-03-11 04:00:00,3,True
reduce_short,1.06417,2015-03-11 07:00:00,1,True
close_short,1.0599699999999999,2015-03-11 12:00:00,2,True
sell,1.05709,2015-03-11 14:00:00,3,True
reduce_short,1.05376,2015-03-11 19:00:00,2,True
sell,1.05448,2015-03-11 23:00:00,1,True
close_short,1.05358,2015-03-12 01:00:00,2,True
buy,1.04999,2015-03-12 03:00:00,1,True
close_long,1.05935,2015-03-12 08:00:00,1,True
sell,1.06159,2015-03-12 10:00:00,1,True
sell,1.06375,2015-03-12 12:00:00,2,True
reduce_short,1.0605900000000001,2015-03-12 17:00:00,2,True
sell,1.0631,2015-03-12 20:00:00,1,True
reduce_short,1.06237,2015-03-12 23:00:00,1,True
sell,1.06112,2015-03-13 03:00:00,2,True
close_short,1.0621399999999999,2015-03-13 08:00:00,3,True
buy,1.05849,2015-03-13 10:00:00,2,True
reduce_long,1.05368,2015-03-13 13:00:00,1,True
close_long,1.04744,2015-03-13 19:00:00,1,True
sell,1.04839,2015-03-15 21:00:00,1,True
sell,1.04807,2015-03-15 23:00:00,1,True
sell,1.05169,2015-03-16 03:00:00,1,True
reduce_short,1.05223,2015-03-16 05:00:00,2,True
sell,1.05278,2015-03-16 07:00:00,2,True
reduce_short,1.05326,2015-03-16 09:00:00,2,True
close_short,1.05305,2015-03-16 11:00:00,1,True
buy,1.06005,2015-03-16 13:00:00,2,True
close_long,1.06107,2015-03-16 16:00:00,2,True
sell,1.05803,2015-03-16 18:00:00,3,True
reduce_short,1.0564,2015-03-16 21:00:00,2,True
sell,1.05685,2015-03-16 23:00:00,1,True
sell,1.05565,2015-03-17 01:00:00,1,True
close_short,1.05701,2015-03-17 03:00:00,3,True
sell,1.05796,2015-03-17 06:00:00,1,True
sell,1.0584200000000001,2015-03-17 08:00:00,2,True
close_short,1.0639399999999999,2015-03-17 13:00:00,3,True
buy,1.0607499999999999,2015-03-17 15:00:00,2,True
close_long,1.05925,2015-03-17 17:00:00,2,True
sell,1.05868,2015-03-17 19:00:00,1,True
sell,1.05933,2015-03-17 21:00:00,2,True
reduce_short,1.0605,2015-03-18 01:00:00,1,True
close_short,1.05967,2015-03-18 06:00:00,2,True
sell,1.06061,2015-03-18 08:00:00,2,True
sell,1.0596400000000001,2015-03-18 10:00:00,1,True
reduce_short,1.06087,2015-03-18 13:00:00,1,True
sell,1.06389,2015-03-18 15:00:00,1,True
close_short,1.0656999999999999,2015-03-18 17:00:00,3,True
sell,1.0835000000000001,2015-03-18 19:00:00,1,True
sell,1.0827,2015-03-18 21:00:00,1,True
sell,1.08456,2015-03-18 23:00:00,1,True
close_short,1.07751,2015-03-19 05:00:00,3,True
buy,1.07128,2015-03-19 07:00:00,1,True
close_long,1.06881,2015-03-19 09:00:00,1,True
buy,1.07022,2015-03-19 11:00:00,3,True
reduce_long,1.06362,2015-03-19 16:00:00,1,True
buy,1.06615,2015-03-19 19:00:00,1,True
reduce_long,1.0672,2015-03-19 23:00:00,2,True
buy,1.06867,2015-03-20 03:00:00,1,True
reduce_long,1.07174,2015-03-20 11:00:00,1,True
close_long,1.0837700000000001,2015-03-20 16:00:00,1,True
sell,1.08078,2015-03-20 18:00:00,1,True
sell,1.08374,2015-03-20 20:00:00,2,True
reduce_short,1.08084,2015-03-23,2,True
close_short,1.07904,2015-03-23 02:00:00,1,True
sell,1.08138,2015-03-23 04:00:00,1,True
close_short,1.0806,2015-03-23 06:00:00,1,True
sell,1.07874,2015-03-23 08:00:00,3,True
reduce_short,1.0862800000000001,2015-03-23 10:00:00,2,True
close_short,1.09287,2015-03-23 14:00:00,1,True
sell,1.09124,2015-03-23 16:00:00,2,True
close_short,1.09671,2015-03-23 19:00:00,2,True
buy,1.09477,2015-03-23 21:00:00,2,True
close_long,1.09144,2015-03-24 02:00:00,2,True
sell,1.09161,2015-03-24 04:00:00,1,True
sell,1.0949,2015-03-24 06:00:00,1,True
sell,1.09687,2015-03-24 09:00:00,1,True
close_short,1.09412,2015-03-24 13:00:00,3,True
buy,1.09083,2015-03-24 15:00:00,1,True
close_long,1.09169,2015-03-24 17:00:00,1,True
sell,1.09223,2015-03-24 19:00:00,2,True
close_short,1.0922399999999999,2015-03-25,2,True
sell,1.0933,2015-03-25 02:00:00,1,True
sell,1.09229,2015-03-25 05:00:00,2,True
reduce_short,1.09491,2015-03-25 07:00:00,2,True
sell,1.09513,2015-03-25 09:00:00,2,True
close_short,1.09718,2015-03-25 19:00:00,3,True
sell,1.09683,2015-03-25 21:00:00,3,True
reduce_short,1.09697,2015-03-26,2,True
sell,1.0987200000000001,2015-03-26 04:00:00,2,True
reduce_short,1.09152,2015-03-26 14:00:00,1,True
close_short,1.08867,2015-03-26 20:00:00,2,True
buy,1.08823,2015-03-26 22:00:00,2,True
buy,1.08935,2015-03-27,1,True
reduce_long,1.08792,2015-03-27 02:00:00,1,True
reduce_long,1.08921,2015-03-27 04:00:00,1,True
buy,1.08765,2015-03-27 06:00:00,1,True
reduce_long,1.08326,2015-03-27 10:00:00,1,True
buy,1.08795,2015-03-27 12:00:00,1,True
close_long,1.09155,2015-03-27 16:00:00,2,True
sell,1.09001,2015-03-27 18:00:00,2,True
close_short,1.08911,2015-03-29 21:00:00,2,True
sell,1.08745,2015-03-30,2,True
close_short,1.0869,2015-03-30 06:00:00,2,True
sell,1.08588,2015-03-30 08:00:00,2,True
reduce_short,1.08344,2015-03-30 11:00:00,1,True
sell,1.0828200000000001,2015-03-30 14:00:00,2,True
reduce_short,1.08175,2015-03-30 16:00:00,1,True
sell,1.08215,2015-03-30 21:00:00,1,True
reduce_short,1.08259,2015-03-30 23:00:00,2,True
sell,1.08132,2015-03-31 02:00:00,2,True
reduce_short,1.07481,2015-03-31 07:00:00,2,True
sell,1.0723500000000001,2015-03-31 09:00:00,2,True
reduce_short,1.07339,2015-03-31 11:00:00,1,True
close_short,1.07438,2015-03-31 15:00:00,2,True
buy,1.07406,2015-03-31 17:00:00,1,True
close_long,1.0736700000000001,2015-03-31 22:00:00,1,True
buy,1.07576,2015-04-01,2,True
buy,1.07821,2015-04-01 02:00:00,1,True
reduce_long,1.07649,2015-04-01 06:00:00,1,True
reduce_long,1.07347,2015-04-01 08:00:00,1,True
close_long,1.0754000000000001,2015-04-01 10:00:00,1,True
sell,1.07409,2015-04-01 12:00:00,1,True
sell,1.07644,2015-04-01 15:00:00,2,True
reduce_short,1.0759400000000001,2015-04-01 20:00:00,1,True
sell,1.07668,2015-04-01 22:00:00,1,True
reduce_short,1.07802,2015-04-02 05:00:00,1,True
sell,1.08247,2015-04-02 08:00:00,1,True
close_short,1.0821,2015-04-02 10:00:00,3,True
buy,1.08507,2015-04-02 12:00:00,1,True
close_long,1.08762,2015-04-02 14:00:00,1,True
buy,1.08827,2015-04-02 16:00:00,2,True
reduce_long,1.08974,2015-04-02 18:00:00,1,True
buy,1.0882,2015-04-02 20:00:00,1,True
reduce_long,1.0872899999999999,2015-04-02 23:00:00,1,True
buy,1.08717,2015-04-03 01:00:00,1,True
close_long,1.08686,2015-04-03 03:00:00,2,True
buy,1.08838,2015-04-03 05:00:00,1,True
