action,price,timestamp,size,success
sell,1.18095,2017-09-29 11:00:00,1,True
sell,1.17927,2017-09-29 13:00:00,2,True
reduce_short,1.18095,2017-09-29 15:00:00,2,True
sell,1.17856,2017-09-29 19:00:00,1,True
close_short,1.18109,2017-10-01 23:00:00,2,True
sell,1.17712,2017-10-02 01:00:00,2,True
sell,1.17751,2017-10-02 03:00:00,1,True
reduce_short,1.17424,2017-10-02 08:00:00,1,True
sell,1.17423,2017-10-02 10:00:00,1,True
reduce_short,1.17482,2017-10-02 13:00:00,2,True
sell,1.17399,2017-10-02 16:00:00,1,True
reduce_short,1.17294,2017-10-02 20:00:00,1,True
sell,1.17358,2017-10-02 22:00:00,2,True
close_short,1.17152,2017-10-03 02:00:00,3,True
sell,1.17028,2017-10-03 04:00:00,2,True
close_short,1.17361,2017-10-03 08:00:00,2,True
sell,1.17531,2017-10-03 10:00:00,3,True
reduce_short,1.175,2017-10-03 14:00:00,2,True
close_short,1.1756,2017-10-03 16:00:00,1,True
sell,1.17466,2017-10-03 18:00:00,2,True
sell,1.17401,2017-10-03 20:00:00,1,True
reduce_short,1.17402,2017-10-03 22:00:00,2,True
sell,1.17694,2017-10-04 01:00:00,2,True
close_short,1.1770399999999999,2017-10-04 03:00:00,3,True
sell,1.17677,2017-10-04 05:00:00,3,True
reduce_short,1.17539,2017-10-04 07:00:00,2,True
sell,1.17712,2017-10-04 10:00:00,2,True
reduce_short,1.1761300000000001,2017-10-04 18:00:00,1,True
reduce_short,1.17537,2017-10-04 21:00:00,1,True
sell,1.1753500000000001,2017-10-04 23:00:00,2,True
reduce_short,1.17683,2017-10-05 07:00:00,1,True
sell,1.17082,2017-10-05 21:00:00,1,True
reduce_short,1.17084,2017-10-06,1,True
reduce_short,1.16856,2017-10-06 07:00:00,1,True
sell,1.17045,2017-10-06 10:00:00,2,True
reduce_short,1.16946,2017-10-06 13:00:00,1,True
close_short,1.17268,2017-10-06 16:00:00,2,True
sell,1.17307,2017-10-06 18:00:00,2,True
sell,1.1732500000000001,2017-10-09 04:00:00,1,True
reduce_short,1.1724,2017-10-09 06:00:00,2,True
sell,1.1732500000000001,2017-10-09 08:00:00,2,True
reduce_short,1.17357,2017-10-09 12:00:00,2,True
sell,1.17345,2017-10-09 14:00:00,1,True
sell,1.17482,2017-10-09 17:00:00,1,True
close_short,1.17441,2017-10-09 21:00:00,3,True
buy,1.1743999999999999,2017-10-09 23:00:00,3,True
reduce_long,1.17699,2017-10-10 03:00:00,1,True
reduce_long,1.17683,2017-10-10 07:00:00,1,True
buy,1.18045,2017-10-10 09:00:00,1,True
close_long,1.17931,2017-10-10 11:00:00,2,True
buy,1.18058,2017-10-10 13:00:00,3,True
reduce_long,1.18069,2017-10-10 15:00:00,2,True
buy,1.18179,2017-10-10 19:00:00,1,True
close_long,1.18052,2017-10-10 21:00:00,2,True
sell,1.18104,2017-10-10 23:00:00,3,True
close_short,1.18096,2017-10-11 09:00:00,3,True
sell,1.1825700000000001,2017-10-11 11:00:00,3,True
reduce_short,1.18509,2017-10-11 18:00:00,2,True
close_short,1.18597,2017-10-11 20:00:00,1,True
sell,1.18597,2017-10-11 22:00:00,1,True
close_short,1.1866999999999999,2017-10-12,1,True
sell,1.1871,2017-10-12 02:00:00,3,True
reduce_short,1.38133,2014-04-23 20:00:00,2,True
sell,1.39943,2011-10-31 05:00:00,1,True
sell,1.34576,2012-02-28 21:00:00,1,True
reduce_short,1.15918,2017-10-29 22:00:00,2,True
sell,1.1606100000000001,2017-10-30 02:00:00,2,True
close_short,1.162,2017-10-30 06:00:00,3,True
sell,1.1630500000000001,2017-10-30 08:00:00,2,True
close_short,1.16351,2017-10-30 11:00:00,2,True
sell,1.1616900000000001,2017-10-30 13:00:00,1,True
close_short,1.16302,2017-10-30 15:00:00,1,True
buy,1.16334,2017-10-30 17:00:00,2,True
close_long,1.16534,2017-10-30 19:00:00,2,True
sell,1.16463,2017-10-30 21:00:00,1,True
sell,1.16442,2017-10-30 23:00:00,1,True
reduce_short,1.1622700000000001,2017-10-31 04:00:00,1,True
sell,1.16384,2017-10-31 08:00:00,1,True
sell,1.16364,2017-10-31 11:00:00,1,True
close_short,1.16411,2017-10-31 14:00:00,3,True
buy,1.16615,2017-10-31 16:00:00,2,True
reduce_long,1.16525,2017-10-31 19:00:00,1,True
buy,1.16525,2017-10-31 22:00:00,2,True
close_long,1.1636600000000001,2017-11-01,3,True
sell,1.16295,2017-11-01 02:00:00,2,True
sell,1.1637,2017-11-01 08:00:00,1,True
reduce_short,1.16292,2017-11-01 14:00:00,1,True
sell,1.16225,2017-11-01 16:00:00,1,True
close_short,1.16219,2017-11-01 18:00:00,3,True
buy,1.16208,2017-11-01 20:00:00,3,True
close_long,1.16252,2017-11-01 23:00:00,3,True
buy,1.16636,2017-11-02 01:00:00,3,True
reduce_long,1.16586,2017-11-02 03:00:00,2,True
close_long,1.1629800000000001,2017-11-02 08:00:00,1,True
sell,1.16452,2017-11-02 10:00:00,3,True
reduce_short,1.16598,2017-11-02 16:00:00,1,True
sell,1.16548,2017-11-02 20:00:00,1,True
reduce_short,1.16541,2017-11-02 22:00:00,1,True
sell,1.16543,2017-11-03,1,True
reduce_short,1.16573,2017-11-03 06:00:00,1,True
close_short,1.16498,2017-11-03 09:00:00,2,True
sell,1.16448,2017-11-03 11:00:00,2,True
reduce_short,1.16422,2017-11-03 13:00:00,1,True
sell,1.1612500000000001,2017-11-03 20:00:00,1,True
close_short,1.16177,2017-11-05 23:00:00,2,True
sell,1.16072,2017-11-06 01:00:00,3,True
reduce_short,1.1611,2017-11-06 03:00:00,2,True
sell,1.16075,2017-11-06 08:00:00,1,True
sell,1.15894,2017-11-06 11:00:00,1,True
reduce_short,1.15823,2017-11-06 13:00:00,2,True
